,Faraday depth,Real FDF,Imag FDF,Abs FDF,chi FDF
0,-1000.0,0.0,0.0,0.0,0.0
1,-999.89999499975,0.0,0.0,0.0,0.0
2,-999.7999899995,0.0,0.0,0.0,0.0
3,-999.69998499925,0.0,0.0,0.0,0.0
4,-999.599979999,0.0,0.0,0.0,0.0
5,-999.49997499875,0.0,0.0,0.0,0.0
6,-999.3999699985,0.0,0.0,0.0,0.0
7,-999.29996499825,0.0,0.0,0.0,0.0
8,-999.1999599979999,0.0,0.0,0.0,0.0
9,-999.0999549977499,0.0,0.0,0.0,0.0
10,-998.9999499974999,0.0,0.0,0.0,0.0
11,-998.8999449972499,0.0,0.0,0.0,0.0
12,-998.7999399969998,0.0,0.0,0.0,0.0
13,-998.6999349967498,0.0,0.0,0.0,0.0
14,-998.5999299964998,0.0,0.0,0.0,0.0
15,-998.4999249962498,0.0,0.0,0.0,0.0
16,-998.3999199959998,0.0,0.0,0.0,0.0
17,-998.2999149957498,0.0,0.0,0.0,0.0
18,-998.1999099954998,0.0,0.0,0.0,0.0
19,-998.0999049952497,0.0,0.0,0.0,0.0
20,-997.9998999949997,0.0,0.0,0.0,0.0
21,-997.8998949947497,0.0,0.0,0.0,0.0
22,-997.7998899944997,0.0,0.0,0.0,0.0
23,-997.6998849942497,0.0,0.0,0.0,0.0
24,-997.5998799939997,0.0,0.0,0.0,0.0
25,-997.4998749937497,0.0,0.0,0.0,0.0
26,-997.3998699934997,0.0,0.0,0.0,0.0
27,-997.2998649932497,0.0,0.0,0.0,0.0
28,-997.1998599929997,0.0,0.0,0.0,0.0
29,-997.0998549927497,0.0,0.0,0.0,0.0
30,-996.9998499924997,0.0,0.0,0.0,0.0
31,-996.8998449922497,0.0,0.0,0.0,0.0
32,-996.7998399919996,0.0,0.0,0.0,0.0
33,-996.6998349917496,0.0,0.0,0.0,0.0
34,-996.5998299914995,0.0,0.0,0.0,0.0
35,-996.4998249912495,0.0,0.0,0.0,0.0
36,-996.3998199909995,0.0,0.0,0.0,0.0
37,-996.2998149907495,0.0,0.0,0.0,0.0
38,-996.1998099904995,0.0,0.0,0.0,0.0
39,-996.0998049902495,0.0,0.0,0.0,0.0
40,-995.9997999899995,0.0,0.0,0.0,0.0
41,-995.8997949897495,0.0,0.0,0.0,0.0
